name,id,start_time,duration_time
Face,DOFPRw6Epl0,00:01:17,00:00:02
This,DOFPRw6Epl0,00:01:20,00:00:02
What,DOFPRw6Epl0,00:01:31,00:00:02
Why,DOFPRw6Epl0,00:01:52,00:00:02
How,DOFPRw6Epl0,00:01:55,00:00:02
Where,DOFPRw6Epl0,00:02:08,00:00:02
Who,DOFPRw6Epl0,00:02:20,00:00:02
When,DOFPRw6Epl0,00:02:29,00:00:02
Which,DOFPRw6Epl0,00:02:38,00:00:03
Family,drs0_jcKr5w,00:00,00:00:03
Mother,drs0_jcKr5w,00:01:22,00:00:01
Father,drs0_jcKr5w,00:01:29,00:00:01
Wife,drs0_jcKr5w,00:01:39,00:00:03
Husband,drs0_jcKr5w,00:01:45,00:00:03
Daughter,drs0_jcKr5w,00:01:51,00:00:03
Son,drs0_jcKr5w,00:02:00,00:00:03
Sister,drs0_jcKr5w,00:02:08,00:00:02
Brother,drs0_jcKr5w,00:02:17,00:00:03
Grandmother,drs0_jcKr5w,00:02:31,00:00:02
Grandfather,drs0_jcKr5w,00:02:35,00:00:03
Aunt,drs0_jcKr5w,00:02:41,00:00:03
Uncle,drs0_jcKr5w,00:02:56,00:00:01
